url,num,description,longitude,latitude
http://informo.munimadrid.es/informo/Camaras/Camara00001_mdf.jpg,00001,PLAZA DE CASTILLA (NORTE),-3.68895527506791,40.4660589682942
http://informo.munimadrid.es/informo/Camaras/Camara00002_mdf.jpg,00002,PLAZA DE CASTILLA (SUR),-3.689645573091,40.4657712906425
http://informo.munimadrid.es/informo/Camaras/Camara00003_mdf.jpg,00003,PLAZA DE CUZCO,-3.69025263209296,40.4590594112264
http://informo.munimadrid.es/informo/Camaras/Camara00004_mdf.jpg,00004,PLAZA DE LIMA,-3.69050180389329,40.4520233559885
http://informo.munimadrid.es/informo/Camaras/Camara00005_mdf.jpg,00005,CUATRO CAMINOS,-3.7040828265462,40.4469863813763
http://informo.munimadrid.es/informo/Camaras/Camara00006_mdf.jpg,00006,PRINCESA - MORET,-3.71915944926444,40.4348874041992
http://informo.munimadrid.es/informo/Camaras/Camara00007_mdf.jpg,00007,PLAZA CRISTO REY,-3.71765978162896,40.4391953594807
http://informo.munimadrid.es/informo/Camaras/Camara00008_mdf.jpg,00008,GTA DE SAN VICENTE,-3.71993833564365,40.4202682372078
http://informo.munimadrid.es/informo/Camaras/Camara00009_mdf.jpg,00009,PLAZA DE ESPAÑA - BAILEN,-3.71296428943467,40.4219957132495
http://informo.munimadrid.es/informo/Camaras/Camara00010_mdf.jpg,00010,PLAZA DE ESPAÑA - GRAN VIA,-3.7108200085566,40.4232073563779
http://informo.munimadrid.es/informo/Camaras/Camara00011_mdf.jpg,00011,CALLAO - GRAN VIA,-3.70544359048593,40.4201637960168
http://informo.munimadrid.es/informo/Camaras/Camara00012_mdf.jpg,00012,M30 - PK31+500 C (NUDO NORTE),-3.68524166545552,40.4820942803259
http://informo.munimadrid.es/informo/Camaras/Camara00013_mdf.jpg,00013,GREGORIO MARAÑON,-3.6904312593265,40.4379822711863
http://informo.munimadrid.es/informo/Camaras/Camara00016_mdf.jpg,00016,REPUBLICA ARGENTINA,-3.68580097527198,40.4454563038875
http://informo.munimadrid.es/informo/Camaras/Camara00014_mdf.jpg,00014,REPUBLICA DOMINICANA,-3.67668309681119,40.4585908900455
http://informo.munimadrid.es/informo/Camaras/Camara00015_mdf.jpg,00015,CONCHA ESPINA - PPE DE VERGARA,-3.67747587385878,40.4515411479024
http://informo.munimadrid.es/informo/Camaras/Camara00017_mdf.jpg,00017,AV AMERICA - FRANCISCO SILVELA,-3.67736681424109,40.4373257397254
http://informo.munimadrid.es/informo/Camaras/Camara00018_mdf.jpg,00018,BILBAO,-3.70225542006541,40.4288850220661
http://informo.munimadrid.es/informo/Camaras/Camara00019_mdf.jpg,00019,COLON,-3.6905299608674,40.4256609326723
http://informo.munimadrid.es/informo/Camaras/Camara00020_mdf.jpg,00020,ALCALA - VENTAS,-3.66246114188524,40.4311241395454
http://informo.munimadrid.es/informo/Camaras/Camara00022_mdf.jpg,00022,ALCALA - GOYA,-3.67588476249881,40.4248930136469
http://informo.munimadrid.es/informo/Camaras/Camara00021_mdf.jpg,00021,MANUEL BECERRA,-3.66904716546866,40.4279549864534
http://informo.munimadrid.es/informo/Camaras/Camara00023_mdf.jpg,00023,CONDE DE CASAL,-3.67025032399985,40.4066509366939
http://informo.munimadrid.es/informo/Camaras/Camara00024_mdf.jpg,00024,LEGAZPI,-3.69494064324265,40.3911803501047
http://informo.munimadrid.es/informo/Camaras/Camara00025_mdf.jpg,00025,EMBAJADORES,-3.70258091915094,40.4050251515043
http://informo.munimadrid.es/informo/Camaras/Camara00026_mdf.jpg,00026,ATOCHA - SUR,-3.69313519731456,40.4076544006346
http://informo.munimadrid.es/informo/Camaras/Camara00027_mdf.jpg,00027,ATOCHA - NORTE,-3.69217175176038,40.409184832821
http://informo.munimadrid.es/informo/Camaras/Camara00028_mdf.jpg,00028,CIBELES 1,-3.69312671587413,40.4189712577593
http://informo.munimadrid.es/informo/Camaras/Camara00029_mdf.jpg,00029,GRAN VIA - ALCALA,-3.69668995350967,40.4188350521976
http://informo.munimadrid.es/informo/Camaras/Camara00030_mdf.jpg,00030,PLAZA CANALEJAS,-3.70025761032618,40.4166484713672
http://informo.munimadrid.es/informo/Camaras/Camara00031_mdf.jpg,00031,QUEVEDO,-3.70442713713427,40.4336051610742
http://informo.munimadrid.es/informo/Camaras/Camara00032_mdf.jpg,00032,ALONSO MARTINEZ,-3.69555616946535,40.4275846236819
http://informo.munimadrid.es/informo/Camaras/Camara00033_mdf.jpg,00033,SERRANO - JUAN BRAVO,-3.68683484664456,40.433106478924
http://informo.munimadrid.es/informo/Camaras/Camara00034_mdf.jpg,00034,SAN JUAN DE LA CRUZ,-3.69210022198954,40.4414959364053
http://informo.munimadrid.es/informo/Camaras/Camara00035_mdf.jpg,00035,SANTA ENGRACIA - JOSE ABASCAL,-3.7001795455445,40.4385409801205
http://informo.munimadrid.es/informo/Camaras/Camara00036_mdf.jpg,00036,JUAN ZORRILLA,-3.70400814995642,40.442193062579
http://informo.munimadrid.es/informo/Camaras/Camara00037_mdf.jpg,00037,ALCALA - VELAZQUEZ,-3.68443014790084,40.4208868690894
http://informo.munimadrid.es/informo/Camaras/Camara00038_mdf.jpg,00038,NEPTUNO,-3.69386106874823,40.4151807189634
http://informo.munimadrid.es/informo/Camaras/Camara00039_mdf.jpg,00039,PUENTE DE SEGOVIA,-3.7241397704316,40.4141726010524
http://informo.munimadrid.es/informo/Camaras/Camara00040_mdf.jpg,00040,MARQUES DE VADILLO,-3.71591843704894,40.3978100814755
